Date,ChangingRate,Company,Anomaly
2013-01-23,0.0102199507338,AAPL,0.0
2013-01-24,-0.0206522365525,AAPL,0.0
2013-01-25,-0.0261462830875,AAPL,0.0
2013-01-28,0.0274079189741,AAPL,0.0
2013-01-29,-0.000501679389313,AAPL,0.0
2013-01-30,-0.000371964996384,AAPL,0.0
2013-01-31,-0.00326058018904,AAPL,0.0
2013-02-01,-0.0119579381587,AAPL,0.0
2013-02-04,-0.0255336615329,AAPL,0.0
2013-02-05,0.0310550767813,AAPL,0.0
2013-02-06,0.0019278791892,AAPL,0.0
2013-02-07,0.0107285327726,AAPL,0.0
2013-02-08,0.00206749574133,AAPL,0.0
2013-02-11,0.00719840950592,AAPL,0.0
2013-02-12,-0.0242121963386,AAPL,0.0
2013-02-13,-0.000428081588887,AAPL,0.0
2013-02-14,0.00445622356154,AAPL,0.0
2013-02-15,-0.0185346599447,AAPL,0.0
2013-02-19,-0.00240725003856,AAPL,0.0
2013-02-20,-0.0193143658296,AAPL,0.0
2013-02-21,0.00013452241881,AAPL,0.0
2013-02-22,0.00347240498052,AAPL,0.0
2013-02-25,-0.024347305735,AAPL,0.0
2013-02-26,0.0116037984975,AAPL,0.0
2013-02-27,-0.00860789374799,AAPL,0.0
2013-02-28,-0.00596778959613,AAPL,0.0
2013-03-01,-0.0171917758632,AAPL,0.0
2013-03-04,-0.018115960941,AAPL,0.0
2013-03-05,0.0229191866063,AAPL,0.0
2013-03-06,-0.0203677752419,AAPL,0.0
2013-03-07,0.0143227420832,AAPL,0.0
2013-03-08,0.00446716597827,AAPL,0.0
2013-03-11,0.01889468998,AAPL,0.0
2013-03-12,-0.0164600914117,AAPL,0.0
2013-03-13,-0.000233404134439,AAPL,0.0
2013-03-14,-0.000762474851761,AAPL,0.0
2013-03-15,0.0130843081139,AAPL,0.0
2013-03-18,0.0323253327934,AAPL,0.0
2013-03-19,-0.0109032574144,AAPL,0.0
2013-03-20,-0.0116741556305,AAPL,0.0
2013-03-21,0.00557498306906,AAPL,0.0
2013-03-22,0.0161247608215,AAPL,0.0
2013-03-25,-0.00238865267586,AAPL,0.0
2013-03-26,-0.009238603855,AAPL,0.0
2013-03-27,-0.0095956249433,AAPL,0.0
2013-03-28,-0.0159174909456,AAPL,0.0
2013-04-01,-0.0293957707359,AAPL,0.0
2013-04-02,0.00512163957424,AAPL,0.0
2013-04-03,0.00143724178099,AAPL,0.0
2013-04-04,-0.0139247649111,AAPL,0.0
2013-04-05,-0.00306243816976,AAPL,0.0
2013-04-08,0.00320113457834,AAPL,0.0
2013-04-09,0.00145414669295,AAPL,0.0
2013-04-10,0.0177294907318,AAPL,0.0
2013-04-11,0.00140643966118,AAPL,0.0
2013-04-12,-0.0100195211568,AAPL,0.0
2013-04-15,-0.016744704918,AAPL,0.0
2013-04-16,0.0110776740645,AAPL,0.0
2013-04-17,-0.0415684783965,AAPL,1.0
2013-04-18,-0.0319514167944,AAPL,0.0
2013-04-19,0.00659846118721,AAPL,0.0
2013-04-22,0.015357623189,AAPL,0.0
2013-04-23,0.00529715597509,AAPL,0.0
2013-04-24,0.0302891136555,AAPL,0.0
